gene_name	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3	Infant_1	Adult_1	Adult_2	Adult_3
FEZ2	696	663	543	549	116	181	219	713	702	545	720
FEZF1	0	0	0	0	0	0	0	0	0	0	0
FEZF2	0	0	0	0	0	0	0	0	0	0	0
FFAR1	24	10	6	13	10	26	15	6	6	5	11
FFAR2	37	47	17	23	4	11	20	95	59	32	68
FFAR3	13	9	3	4	0	4	11	17	10	8	5
FGA	261	147	200	191	84	364	432	13	0	3	1
FGB	262	316	262	398	85	927	329	6	1	3	0
FGD1	415	220	481	511	694	452	656	448	140	152	191
FGD2	23	11	4	4	0	11	11	423	269	251	213
FGD3	185	39	25	20	17	24	98	257	274	304	291
FGD4	713	316	447	398	22	129	179	309	614	532	976
FGD5	333	169	229	241	152	144	301	777	819	617	501
FGD5-AS1	4668	4626	2752	2595	574	973	1660	2665	2518	2135	3136
FGD6	417	178	297	332	70	128	135	440	87	119	68
FGF1	18	27	35	41	20	30	18	185	45	39	13
FGF10	40	14	41	21	37	11	117	20	7	5	5
FGF11	35	50	50	54	114	71	55	49	17	10	17
FGF12	10	19	36	20	0	18	5	46	12	14	2
FGF13	108	88	136	109	36	50	40	220	54	57	29
FGF14	16	4	8	13	0	4	4	21	18	18	17
FGF14-IT1	0	0	0	0	0	0	0	0	0	0	0
FGF16	0	0	1	0	4	4	0	2	1	0	0
FGF17	3	5	7	5	1	3	3	2	4	8	0
FGF18	22	72	66	61	199	84	24	10	33	38	39
FGF19	1	2	1	2	0	2	1	1	0	0	0
FGF2	49	44	77	59	17	30	31	177	70	69	44
FGF20	17	9	0	2	0	0	5	4	0	0	0
FGF21	0	0	0	0	0	0	0	0	0	0	0
FGF22	2	0	0	0	0	0	0	0	2	0	0
FGF23	7	2	8	8	0	10	19	8	2	3	0
FGF3	0	0	0	0	0	0	0	0	2	3	0
FGF4	0	0	0	0	0	0	0	0	1	0	0
FGF5	6	13	6	17	3	2	6	36	6	2	0
FGF6	0	0	0	0	0	0	0	0	1	0	0
FGF7	105	114	211	132	87	44	233	228	58	33	31
FGF8	0	0	2	0	1	0	0	0	0	1	0
FGF9	111	74	36	58	16	27	75	46	15	12	9
FGFBP1	5	2	1	2	0	1	1	4	7	7	11
FGFBP2	1	0	0	0	0	0	0	16	6	113	12
FGFBP3	57	39	41	46	33	34	48	36	32	25	32
FGFR1	2207	1323	2138	2568	3480	1939	2596	2977	851	970	534
FGFR1OP	280	251	240	187	33	99	108	166	276	138	274
FGFR1OP2	335	363	324	193	51	90	152	309	405	344	510
FGFR2	1279	527	1118	904	445	675	938	954	345	338	329
FGFR3	3373	1767	3875	2182	440	3811	1990	500	897	675	889
FGFR4	1938	1231	1755	1248	527	1683	2815	1046	1162	777	814
FGFRL1	661	212	312	277	397	205	445	241	261	248	348
FGG	0	0	10	9	0	26	22	0	1	6	0
FGGY	254	230	157	162	38	120	120	136	244	184	315
FGL1	1	4	0	0	0	0	1	1	0	0	1
FGL2	190	241	188	211	32	52	28	2398	3230	2016	2767
FGR	2	1	0	0	0	1	0	390	97	110	70
FH	1542	1723	1560	1195	425	749	753	1109	1570	1017	1924
FHAD1	26	23	19	20	8	15	13	48	12	7	19
FHDC1	311	172	242	383	78	234	153	200	501	302	396
FHIT	46	101	95	64	63	96	42	65	119	73	125
FHL1	4308	5485	6592	6787	2709	5448	3242	7191	3062	2597	2001
FHL2	1059	993	809	919	911	640	1049	1201	1960	1190	2258
FHL3	566	474	449	452	938	642	812	549	174	124	123
FHL5	6	27	10	11	14	5	3	36	54	81	40
FHOD1	364	260	188	166	137	89	246	384	331	289	192
FHOD3	223	66	219	269	179	81	138	356	117	125	52
FIBCD1	41	21	1	23	22	18	77	36	36	21	10
FIBIN	529	538	858	952	1358	458	815	803	91	76	68
FIBP	969	1313	916	902	948	864	955	669	1163	672	1284
FICD	56	32	36	29	29	45	26	27	33	38	72
FIG4	430	392	343	264	91	118	247	256	340	247	287
FIGF	0	0	3	1	0	0	2	1	7	4	7
FIGLA	0	0	0	0	0	0	0	0	0	2	0
FIGN	24	6	19	12	8	7	22	23	10	28	16
